  Description                data   r5     r3        r4_1   r4_0     r7     r1     r0
Before BRANCHES              0xab   0x0a  0xb000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xab   0x0a  0xb000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xac   0x0a  0xc000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xac   0x0a  0xc000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xad   0x0a  0xd000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xad   0x0a  0xd000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xae   0x0a  0xe000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xae   0x0a  0xe000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xaf   0x0a  0xf000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xaf   0x0a  0xf000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xb0   0x0b  0x0000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xb0   0x0b  0x0000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xb1   0x0b  0x1000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xb1   0x0b  0x1000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xb2   0x0b  0x2000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xb2   0x0b  0x2000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xb3   0x0b  0x3000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xb3   0x0b  0x3000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xb4   0x0b  0x4000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xb4   0x0b  0x4000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xb5   0x0b  0x5000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xb5   0x0b  0x5000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xb6   0x0b  0x6000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xb6   0x0b  0x6000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xb7   0x0b  0x7000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xb7   0x0b  0x7000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xb8   0x0b  0x8000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xb8   0x0b  0x8000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xb9   0x0b  0x9000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xb9   0x0b  0x9000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xba   0x0b  0xa000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xba   0x0b  0xa000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xbb   0x0b  0xb000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xbb   0x0b  0xb000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xbc   0x0b  0xc000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xbc   0x0b  0xc000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xbd   0x0b  0xd000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xbd   0x0b  0xd000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xbe   0x0b  0xe000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xbe   0x0b  0xe000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xbf   0x0b  0xf000       11     12   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xbf   0x0b  0xf000       11     12   -NA-   0x42   0x42
Before BRANCHES              0xc0   0x0c  0x0000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xc0   0x0c  0x0000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xc1   0x0c  0x1000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xc1   0x0c  0x1000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xc2   0x0c  0x2000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xc2   0x0c  0x2000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xc3   0x0c  0x3000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xc3   0x0c  0x3000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xc4   0x0c  0x4000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xc4   0x0c  0x4000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xc5   0x0c  0x5000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xc5   0x0c  0x5000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xc6   0x0c  0x6000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xc6   0x0c  0x6000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xc7   0x0c  0x7000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xc7   0x0c  0x7000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xc8   0x0c  0x8000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xc8   0x0c  0x8000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xc9   0x0c  0x9000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xc9   0x0c  0x9000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xca   0x0c  0xa000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xca   0x0c  0xa000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xcb   0x0c  0xb000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xcb   0x0c  0xb000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xcc   0x0c  0xc000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xcc   0x0c  0xc000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xcd   0x0c  0xd000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xcd   0x0c  0xd000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xce   0x0c  0xe000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xce   0x0c  0xe000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xcf   0x0c  0xf000       12     13   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xcf   0x0c  0xf000       12     13   -NA-   0x42   0x42
Before BRANCHES              0xd0   0x0d  0x0000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xd0   0x0d  0x0000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xd1   0x0d  0x1000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xd1   0x0d  0x1000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xd2   0x0d  0x2000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xd2   0x0d  0x2000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xd3   0x0d  0x3000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xd3   0x0d  0x3000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xd4   0x0d  0x4000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xd4   0x0d  0x4000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xd5   0x0d  0x5000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xd5   0x0d  0x5000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xd6   0x0d  0x6000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xd6   0x0d  0x6000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xd7   0x0d  0x7000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xd7   0x0d  0x7000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xd8   0x0d  0x8000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xd8   0x0d  0x8000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xd9   0x0d  0x9000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xd9   0x0d  0x9000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xda   0x0d  0xa000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xda   0x0d  0xa000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xdb   0x0d  0xb000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xdb   0x0d  0xb000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xdc   0x0d  0xc000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xdc   0x0d  0xc000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xdd   0x0d  0xd000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xdd   0x0d  0xd000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xde   0x0d  0xe000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xde   0x0d  0xe000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xdf   0x0d  0xf000       13     14   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xdf   0x0d  0xf000       13     14   -NA-   0x42   0x42
Before BRANCHES              0xe0   0x0e  0x0000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xe0   0x0e  0x0000       14     15   0x41   0x00   0x41
Before BRANCHES              0xe1   0x0e  0x1000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xe1   0x0e  0x1000       14     15   0x41   0x00   0x41
Before BRANCHES              0xe2   0x0e  0x2000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xe2   0x0e  0x2000       14     15   0x41   0x00   0x41
Before BRANCHES              0xe3   0x0e  0x3000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xe3   0x0e  0x3000       14     15   0x41   0x00   0x41
Before BRANCHES              0xe4   0x0e  0x4000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xe4   0x0e  0x4000       14     15   0x41   0x00   0x41
Before BRANCHES              0xe5   0x0e  0x5000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xe5   0x0e  0x5000       14     15   0x41   0x00   0x41
Before BRANCHES              0xe6   0x0e  0x6000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xe6   0x0e  0x6000       14     15   0x41   0x00   0x41
Before BRANCHES              0xe7   0x0e  0x7000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xe7   0x0e  0x7000       14     15   0x41   0x00   0x41
Before BRANCHES              0xe8   0x0e  0x8000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xe8   0x0e  0x8000       14     15   0x41   0x00   0x41
Before BRANCHES              0xe9   0x0e  0x9000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xe9   0x0e  0x9000       14     15   0x41   0x00   0x41
Before BRANCHES              0xea   0x0e  0xa000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xea   0x0e  0xa000       14     15   0x41   0x00   0x41
Before BRANCHES              0xeb   0x0e  0xb000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xeb   0x0e  0xb000       14     15   0x41   0x00   0x41
Before BRANCHES              0xec   0x0e  0xc000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xec   0x0e  0xc000       14     15   0x41   0x00   0x41
Before BRANCHES              0xed   0x0e  0xd000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xed   0x0e  0xd000       14     15   0x41   0x00   0x41
Before BRANCHES              0xee   0x0e  0xe000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xee   0x0e  0xe000       14     15   0x41   0x00   0x41
Before BRANCHES              0xef   0x0e  0xf000       14     15   -NA-   0x42   0x41
END r0 < r1                  0xef   0x0e  0xf000       14     15   0x41   0x00   0x41
1st BRANCH r5 >= f0          0xf0   0xf0  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xf1   0xf1  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xf2   0xf2  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xf3   0xf3  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xf4   0xf4  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xf5   0xf5  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xf6   0xf6  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xf7   0xf7  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xf8   0xf8  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xf9   0xf9  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xfa   0xfa  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xfb   0xfb  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xfc   0xfc  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xfd   0xfd  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xfe   0xfe  0xf000     -NA-   -NA-   -NA-   0x00   0x41
1st BRANCH r5 >= f0          0xff   0xff  0xf000     -NA-   -NA-   -NA-   0x00   0x41
